"","OBJECTID","ARRDT","BOIS","TYPE_VOIE","NOM_VOIE","STATUT","TYPOLOGIE","SENS_VELO","TYPOLOGIE_SIMPLE","SHAPE.LEN","geo_shape","geo_point_2d"
"7973",3331,9,"NON","RUE","LAFAYETTE","VOIE 50","PISTE CYCLABLE SUR TROTTOIR","CONTRESENS","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.337548008411697, 48.87424356692566], [2.33754051610062, 48.8742471899729], [2.337532529608963, 48.87424953030355], [2.337524266823305, 48.87425052406899], [2.337515953168046, 48.87425014415741], [2.337507815455406, 48.87424840093351], [2.337325095376475, 48.87419950202989]]}","48.8742284096, 2.33743661195"
"7974",3338,9,"NON","RUE","LE PELETIER","ZONE 30","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.339244547036839, 48.874529674257204], [2.339103038993403, 48.874198295121104]]}","48.8743639847, 2.33917379302"
"7975",3346,9,"NON","BOULEVARD DES","ITALIENS","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.336660690303016, 48.871468216672746], [2.334953466047163, 48.871171990139764]]}","48.8713201034, 2.33580707818"
"7976",3350,9,"NON","BOULEVARD DES","ITALIENS","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.337977290228963, 48.87169664560854], [2.337358696984039, 48.8715893222806]]}","48.8716429839, 2.33766799361"
"7977",3357,9,"NON","RUE DE","SEZE","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.326806389582519, 48.87035340262655], [2.326622195717734, 48.87041153642833]]}","48.8703824695, 2.32671429265"
"7978",3373,9,"NON","BOULEVARD","POSSONNIERE","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.347682825727528, 48.870789757247955], [2.345849357910255, 48.87109222099848]]}","48.8709409891, 2.34676609182"
"7979",3376,10,"NON","BOULEVARD DE","BONNE NOUVELLE","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.349812638134174, 48.87035851345139], [2.349535868725872, 48.87041799441104]]}","48.8703882539, 2.34967425343"
"7980",3378,10,"NON","BOULEVARD DE","BONNE NOUVELLE","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.351125829573252, 48.87007628274626], [2.350959685141411, 48.87011199142606]]}","48.8700941371, 2.35104275736"
"7981",3385,4,"NON","BOULEVARD DE","SEBASTOPOL","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.348793414758277, 48.85943115777154], [2.348847200276233, 48.859527753275806]]}","48.8594794555, 2.34882030752"
"7982",3391,3,"NON","BOULEVARD DE","SEBASTOPOL","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.35021186498719, 48.86197847698554], [2.350276351086002, 48.8620933666356]]}","48.8620359218, 2.35024410804"
"7983",3393,3,"NON","BOULEVARD DE","SEBASTOPOL","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.350526577996762, 48.86253917037976], [2.350941879677734, 48.86327905260125]]}","48.8629091115, 2.35073422884"
"7984",3400,3,"NON","BOULEVARD DE","SEBASTOPOL","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.351967734120633, 48.86510656895818], [2.352147625267543, 48.86542702300874]]}","48.865266796, 2.35205767969"
"7985",3401,3,"NON","BOULEVARD DE","SEBASTOPOL","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.352147625267543, 48.86542702300874], [2.352528226126266, 48.866105002641746]]}","48.8657660128, 2.3523379257"
"7986",3405,3,"NON","BOULEVARD DE","SEBASTOPOL","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.3531120349007493, 48.86714492726305], [2.353333717081924, 48.86753979255818]]}","48.8673423599, 2.35322287599"
