"","OBJECTID","ARRDT","BOIS","TYPE_VOIE","NOM_VOIE","STATUT","TYPOLOGIE","SENS_VELO","TYPOLOGIE_SIMPLE","SHAPE.LEN","geo_shape","geo_point_2d"
"6289",5018,10,"NON","BOULEVARD DE LA","VILLETTE","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.3671722686157652, 48.884051896506065], [2.367383418932237, 48.88403821851899]]}","48.8840450575, 2.36727784377"
"6290",5020,10,"NON","BOULEVARD DE LA","VILLETTE","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.369137496504342, 48.883169241220266], [2.369203256210905, 48.88311929039505], [2.369271674980002, 48.883073048682476], [2.369342543844567, 48.88303065731564], [2.369415646354361, 48.88299224576779], [2.369506402810866, 48.88293920579514], [2.369595499395034, 48.88288342253793], [2.369682853212277, 48.88282494789634]]}","48.8829950896, 2.36940873974"
"6291",5030,10,"NON","BOULEVARD DE LA","VILLETTE","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.370007265630621, 48.88070113868621], [2.370008891857603, 48.880566706511196]]}","48.8806339226, 2.37000807874"
"6292",5031,10,"NON","BOULEVARD DE LA","VILLETTE","VOIE 50","PISTE CYCLABLE AVEC STATIONNEMENT RECONSTITUE","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.370008891857603, 48.880566706511196], [2.370011050553016, 48.880388256695994]]}","48.8804774816, 2.37000997121"
"6293",5034,10,"NON","BOULEVARD DE LA","VILLETTE","VOIE 50","PISTE CYCLABLE AVEC STATIONNEMENT RECONSTITUE","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.375117304360306, 48.87349895966346], [2.37603581935742, 48.87267304130211]]}","48.8730860005, 2.37557656186"
"6294",5037,10,"NON","BOULEVARD DE LA","VILLETTE","VOIE 50","PISTE CYCLABLE AVEC STATIONNEMENT RECONSTITUE","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.372106386857754, 48.87612721348636], [2.372766965879327, 48.87555117452336]]}","48.875839194, 2.37243667637"
"6295",5047,10,"NON","BOULEVARD DE LA","VILLETTE","VOIE 50","PISTE CYCLABLE AVEC STATIONNEMENT RECONSTITUE","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.376213231719345, 48.87251351019867], [2.376490252505378, 48.872264407603744]]}","48.8723889589, 2.37635174211"
"6296",5053,10,"NON","RUE DU","CHATEAU LANDON","ZONE 30","BANDE CYCLABLE SUR CHAUSSEE","CONTRESENS","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.364346455161128, 48.88384555212348], [2.364351702086414, 48.88385543186322], [2.36455448234824, 48.884150135618675], [2.364593488025327, 48.88421922867641]]}","48.8840311797, 2.36447189485"
"6297",5063,10,"NON","RUE","CAIL","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.361540473231698, 48.88266601471668], [2.359417738983595, 48.88282956769946]]}","48.8827477912, 2.36047910611"
"6298",5064,10,"NON","RUE","PERDONNET","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.359434777939843, 48.882975074814574], [2.361376618213385, 48.884093584668776]]}","48.8835343297, 2.36040569808"
"6299",5067,10,"NON","BOULEVARD DE LA","CHAPELLE","VOIE 50","PISTE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.3615427590507743, 48.88436639728799], [2.361513509798666, 48.884456661395156]]}","48.8844115293, 2.36152813442"
"6300",5073,10,"NON","RUE","LAFAYETTE","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.3627392425424603, 48.88075822250609], [2.363948416815507, 48.88107568082153]]}","48.8809169517, 2.36334382968"
"6301",4713,2,"NON","RUE DU","MAIL","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.341210000505907, 48.86628551177295], [2.341322598764063, 48.86630873694128], [2.341511098996291, 48.86637640074357], [2.343805860454426, 48.86726799816731]]}","48.866765873, 2.34251130382"
"6302",4718,2,"NON","RUE","MONTMARTRE","AIRE PIETONNE","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.345098633721762, 48.86485149465575], [2.344266021592927, 48.86676746837455]]}","48.8658094815, 2.34468232766"
"6303",4720,2,"NON","RUE DE","CLERY","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.344072479903005, 48.86735954950083], [2.345079029039623, 48.867630189818705], [2.345327033193948, 48.867699362819], [2.345388091568321, 48.86771992266619]]}","48.8675370799, 2.34473106541"
"6304",4721,2,"NON","RUE","MONTMARTRE","AIRE PIETONNE","SANS MARQUAGE","SENS CIRCULATION GENERALE","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.344184717946578, 48.86686357970787], [2.3450611412253473, 48.86485792240792]]}","48.8658607511, 2.34462292959"
"6305",4728,2,"NON","RUE","MONTORGUEIL","AIRE PIETONNE","SANS MARQUAGE","SENS CIRCULATION GENERALE","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.347142947592831, 48.86635133514914], [2.347138973369419, 48.866325823786866], [2.346961930379481, 48.86548750504802], [2.34686591325905, 48.86509102885274], [2.346675296589924, 48.864472978439586]]}","48.8654069528, 2.34692948336"
"6306",4734,2,"NON","RUE","LEOPOLD BELLAN","AIRE PIETONNE","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.344265907410416, 48.8666777879959], [2.344440646008527, 48.866679125547336], [2.345033102132448, 48.86669030484981], [2.345258765655059, 48.866671313648325], [2.345529102445211, 48.866613304264426], [2.346519383458129, 48.866443642213355], [2.347174256324843, 48.86633744039123]]}","48.8665602104, 2.3457239795"
"6307",4735,2,"NON","RUE","MANDAR","AIRE PIETONNE","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.344653542242089, 48.86579071576013], [2.346989407414501, 48.865519699719194]]}","48.8656552077, 2.34582147483"
"6308",4743,2,"NON","RUE","GRENETA","AIRE PIETONNE","SANS MARQUAGE","SENS CIRCULATION GENERALE","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.347000361751171, 48.86566948434316], [2.348706785779542, 48.86534217155596]]}","48.8655058279, 2.34785357377"
"6309",4744,2,"NON","RUE","GRENETA","AIRE PIETONNE","SANS MARQUAGE","SENS CIRCULATION GENERALE","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.350373209149614, 48.865140428162135], [2.348712881108368, 48.86535682245209]]}","48.8652486253, 2.34954304513"
"6310",4746,2,"NON","RUE","SAINT-SAUVEUR","AIRE PIETONNE","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.350630578165731, 48.86569634363132], [2.348972901586617, 48.86598180652045], [2.347177429130221, 48.86635148150776]]}","48.8660098978, 2.34890135488"
"6311",4749,2,"NON","RUE","TIQUETONNE","AIRE PIETONNE","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.350153023410546, 48.864306798753354], [2.349927890611451, 48.864353492561875], [2.348439546651949, 48.864690429710684], [2.348073788697214, 48.864725266557734], [2.347704133464009, 48.86475157160005], [2.347281163417308, 48.86477306076948], [2.346773513007272, 48.86479143464708]]}","48.8646207594, 2.34847284504"
"6312",4755,2,"NON","RUE","DUSSOUBS","AIRE PIETONNE","SANS MARQUAGE","SENS CIRCULATION GENERALE","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.34838704764641, 48.86467693589493], [2.348533961863321, 48.86497303593228]]}","48.8648249859, 2.34846050475"
"6313",4757,2,"NON","RUE","GRENETA","AIRE PIETONNE","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.351363859448477, 48.865220020074815], [2.350382251622634, 48.86516078081804]]}","48.8651904004, 2.35087305554"
"6314",4760,2,"NON","PASSAGE","BASFOUR","AIRE PIETONNE","SANS MARQUAGE","CIRCULATION GENERALE INTERDITE","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.350948068091923, 48.86627879904123], [2.351831224893493, 48.86604289018145]]}","48.8661608446, 2.35138964649"
"6315",4767,2,"NON","RUE DE","CLERY","ZONE 30","BANDE CYCLABLE SUR CHAUSSEE","CONTRESENS","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.349603412316076, 48.86897270242765], [2.3501875172508, 48.86915963065328], [2.3512319222286, 48.86948352531106]]}","48.8692298016, 2.35041713552"
"6316",4770,2,"NON","RUE DE","CLERY","ZONE 30","CONTINUITE VELO","CONTRESENS","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.347595174858002, 48.868406131246296], [2.347692899130272, 48.868436966405525], [2.347795667142277, 48.86845985234079]]}","48.8684351609, 2.34769483844"
"6317",4772,2,"NON","RUE D","ABOUKIR","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.352416034759026, 48.86939896800408], [2.351595060047792, 48.86915412114579], [2.349758205275693, 48.868614381679556], [2.3496188363169033, 48.868567937802354], [2.348400479950396, 48.86820533598116], [2.347519991922397, 48.867949643283495], [2.347233988908243, 48.867861469461864], [2.346526180928854, 48.86764249888148]]}","48.8685245206, 2.34946995586"
"6318",4774,2,"NON","RUE DU","CAIRE","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.349794249728251, 48.86777451395612], [2.348652238488955, 48.86805751076952], [2.348249879112139, 48.86816160231448]]}","48.8679665338, 2.34902167837"
"6319",4775,2,"NON","RUE","DUSSOUBS","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.349532777568623, 48.86700359574916], [2.349832109699465, 48.867676271166275], [2.349853194469569, 48.86768716317544], [2.34987521211698, 48.86769601905465]]}","48.8673609313, 2.34969279864"
"6320",4776,2,"NON","RUE","SAINT-PHILIPPE","ZONE 30","BANDE CYCLABLE SUR CHAUSSEE","CONTRESENS","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.349458792440799, 48.86892641978878], [2.349693270881741, 48.86859274270941]]}","48.8687595812, 2.34957603166"
"6321",4784,2,"NON","RUE DE","PALESTRO","ZONE 30","BANDE CYCLABLE SUR CHAUSSEE","CONTRESENS","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.352097666810038, 48.86642305982871], [2.352483547402853, 48.86712143670282]]}","48.8667722483, 2.35229060711"
"6322",4789,2,"NON","RUE D","UZES","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.345588848812279, 48.87040035748026], [2.345568744089389, 48.87039564808092], [2.345548138400293, 48.87039431245317], [2.345527593950404, 48.87039638703828], [2.342983144693102, 48.87086515480214]]}","48.8706252839, 2.34428583742"
"6323",4793,2,"NON","RUE DES","JEUNEURS","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.347689384301596, 48.868830268509214], [2.347495978879441, 48.86886490699757], [2.347456126334587, 48.868878966809774], [2.347013306222329, 48.86895626546597], [2.34649089832907, 48.869052164069686], [2.346194356456913, 48.8691136016904], [2.346170658939875, 48.86913369810019], [2.345919394461202, 48.869179915531475], [2.345817169006438, 48.86923479949947], [2.345187624723509, 48.869388404866385], [2.345174926310063, 48.86939463906279], [2.345163425629239, 48.869402876128376], [2.345153435667529, 48.86941289189464], [2.3451452282978043, 48.869424413786454], [2.345139026880397, 48.86943712824008], [2.345135000184436, 48.86945068923667], [2.345133257794863, 48.86946472771905]]}","48.8690997631, 2.34638517878"
"6324",4803,2,"NON","RUE DE LA","LUNE","ZONE DE RENCONTRE","BANDE CYCLABLE SUR CHAUSSEE","CONTRESENS","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.349160585678908, 48.86984780499319], [2.34960685422902, 48.86977202687656]]}","48.8698099159, 2.34938371995"
"6325",4806,2,"NON","RUE","BEAUREGARD","ZONE DE RENCONTRE","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.35129476534581, 48.86958414082768], [2.351223871493761, 48.869599937251046], [2.350979122211294, 48.86955768279833], [2.350779096987949, 48.869515670435696], [2.350361298672767, 48.86940870506561], [2.349939661496161, 48.86934529155635]]}","48.8694746954, 2.3506180565"
"6326",4815,3,"NON","RUE","SAINT-MARTIN","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.35543181766732, 48.86859031123599], [2.355174953262216, 48.8681282541358], [2.355087569978833, 48.86799966839494]]}","48.8682921706, 2.35526427016"
"6327",4827,3,"NON","RUE DE","TURBIGO","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.358273607812354, 48.86598907513347], [2.358150092128832, 48.86596111280444], [2.357954557865915, 48.865916282836395]]}","48.8659527827, 2.35811405921"
"6328",4831,3,"NON","RUE","REAUMUR","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.355491410836195, 48.86556960022738], [2.3557966057219932, 48.865495177097166]]}","48.8655323887, 2.35564400828"
"6329",4834,3,"NON","RUE","BEAUBOURG","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.353461364796661, 48.8613106619814], [2.353422325611807, 48.86124016609958]]}","48.861275414, 2.3534418452"
"6330",4844,3,"NON","RUE","BEAUBOURG","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.35545106572972, 48.86490333350198], [2.355342668500226, 48.8647076217003]]}","48.8648054776, 2.35539686711"
"6332",4861,3,"NON","PLACE DE LA","REPUBLIQUE","VOIE 50","CONTINUITE VELO","","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.363325739300184, 48.867519695481064], [2.363115104290136, 48.867370174414894]]}","48.8674449349, 2.3632204218"
"6333",4869,3,"NON","PLACE DE LA","REPUBLIQUE","VOIE 50","CONTINUITE VELO","","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.363679239013671, 48.86704269128658], [2.363887044713203, 48.86718947691686]]}","48.8671160841, 2.36378314186"
"6334",4878,3,"NON","RUE AU","MAIRE","AIRE PIETONNE","SANS MARQUAGE","CIRCULATION GENERALE INTERDITE","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.356771123083923, 48.864583756108836], [2.356116252274929, 48.8646751775398], [2.35548351231598, 48.86479669652294]]}","48.8646820121, 2.35612595647"
"6335",4881,3,"NON","RUE DES","GRAVILLIERS","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.358197759567027, 48.86340150205872], [2.3574158230763462, 48.863638113807504], [2.356805580867012, 48.86382576852952], [2.356511733818196, 48.86390604447713], [2.356235952978464, 48.863983561457665], [2.355242399744503, 48.864263755488714]]}","48.8638400539, 2.35672225334"
"6336",4889,3,"NON","RUE DE","SAINTONGE","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.363230219000163, 48.86242836920705], [2.362351113893605, 48.8616827166892]]}","48.8620555429, 2.36279066645"
"6337",4896,3,"NON","RUE DE","PICARDIE","ZONE DE RENCONTRE","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.3627503179916722, 48.863863508669056], [2.363519653986537, 48.864535355145]]}","48.8641994319, 2.36313498599"
"6338",4898,3,"NON","RUE DE","PERREE","ZONE DE RENCONTRE","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.361687955250872, 48.86440201561809], [2.362342635968755, 48.86407161140972], [2.3627503179916722, 48.863863508669056]]}","48.864133339, 2.36221942941"
"6339",4900,3,"NON","RUE","EUGENE SPULLER","AIRE PIETONNE","SANS MARQUAGE","CIRCULATION GENERALE INTERDITE","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.361762910510492, 48.86436418760317], [2.3611104046452382, 48.86377483342716]]}","48.8640695105, 2.36143665758"
"6340",4903,3,"NON","RUE","CHARLOT","ZONE 30","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.365219938406486, 48.865202115971485], [2.364804319075218, 48.86483639969952], [2.364750382231231, 48.86482302607909]]}","48.8650019674, 2.36499071213"
"6341",4905,3,"NON","RUE","DUPETIT-THOUARS","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.362533208852777, 48.86502251968255], [2.361010573890795, 48.86577445197856]]}","48.8653984858, 2.36177189137"
"6342",4911,3,"NON","RUE DE LA","CORDERIE","AIRE PIETONNE","SANS MARQUAGE","CIRCULATION GENERALE INTERDITE","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.3630090117338742, 48.865140311694674], [2.363332984487552, 48.86462754484515]]}","48.8648839283, 2.36317099811"
"6343",4913,3,"NON","RUE","FRANCOIS DUPUIS","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.363998995765594, 48.86550485982103], [2.362596126494972, 48.86505123729]]}","48.8652780486, 2.36329756113"
"6344",4914,3,"NON","RUE DE LA","CORDERIE","ZONE 30","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.362281554029712, 48.86514679881794], [2.362443239168742, 48.86526933852452], [2.36249368589452, 48.8652731765218], [2.362578757897018, 48.865247454952865], [2.362788382228318, 48.8653592187433], [2.3628371422422, 48.86535352954808], [2.362908064797408, 48.86530512700904], [2.36298954162691, 48.86517845188051]]}","48.8652695881, 2.3626528185"
"6345",4921,4,"NON","RUE DES","LOMBARDS","AIRE PIETONNE","SANS MARQUAGE","SENS CIRCULATION GENERALE","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.350225144168256, 48.85901013034356], [2.349500821061038, 48.85925604619551], [2.34886779859775, 48.85949650562679]]}","48.859247281, 2.34954430075"
"6346",4923,4,"NON","RUE","SAINT-MARTIN","AIRE PIETONNE","SANS MARQUAGE","SENS CIRCULATION GENERALE","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.35092680797715, 48.860169826799165], [2.351723620625826, 48.861646872642964]]}","48.8609083497, 2.3513252143"
"6347",4930,4,"NON","RUE","QUINCAMPOIX","AIRE PIETONNE","SANS MARQUAGE","SENS CIRCULATION GENERALE","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.34994384453783, 48.85989789591695], [2.349902286036675, 48.859803230958356], [2.349655538602641, 48.859462568972965], [2.349451178476467, 48.85925155671405]]}","48.8595613348, 2.3497161159"
"6348",4932,4,"NON","RUE DE LA","REYNIE","AIRE PIETONNE","SANS MARQUAGE","CONTRESENS","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.349973771856884, 48.85990423603955], [2.34925762434588, 48.85998771014026]]}","48.8599459731, 2.3496156981"
"6349",4938,4,"NON","RUE","AUBRY LE BOUCHER","AIRE PIETONNE","SANS MARQUAGE","SENS CIRCULATION GENERALE","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.3508992105147453, 48.860186058813234], [2.350186144355349, 48.86037683247978]]}","48.8602814456, 2.35054267744"
"6350",4949,10,"NON","BOULEVARD DE LA","CHAPELLE","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.355789190005962, 48.88402493905065], [2.355824157624789, 48.88402717714549], [2.35644750764737, 48.88407121842623]]}","48.8840479692, 2.3561183562"
"6351",4951,10,"NON","RUE DU","FAUBOURG SAINT-DENIS","VOIE 50","CONTINUITE VELO","","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.35901365177613, 48.884256465239815], [2.3590548298654053, 48.884259079915886], [2.35909602389354, 48.884256729678995], [2.359136637399401, 48.88424944855896], [2.359176082327422, 48.884237341981375], [2.359213787542234, 48.88422058524114], [2.359260102557318, 48.884193499580235], [2.359308714784633, 48.88417079352368], [2.359359211205119, 48.88415265998661], [2.35941116279124, 48.884139253035116], [2.359467206850145, 48.88413014289478], [2.359522548631571, 48.884117445713045], [2.359576958797651, 48.88410121410738]]}","48.8841851722, 2.35929534932"
"6352",4952,10,"NON","RUE","LOUIS BLANC","ZONE 30","BANDE CYCLABLE SUR CHAUSSEE","CONTRESENS","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.363915315138776, 48.88176839620233], [2.364598986144735, 48.88140051547816]]}","48.8815844558, 2.36425715064"
"6353",4954,10,"NON","RUE","LOUIS BLANC","ZONE 30","CONTINUITE VELO","CONTRESENS","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.360408787100416, 48.88365781244323], [2.36049852015665, 48.88360997990623], [2.360591575899167, 48.883560742178595]]}","48.8836092072, 2.36050014429"
"6354",4959,10,"NON","PLACE","NAPOLEON III","AIRE PIETONNE","SANS MARQUAGE","SENS CIRCULATION GENERALE","SANS MARQUAGE",0,"{""type"": ""LineString"", ""coordinates"": [[2.353820153172324, 48.880124298573435], [2.354655211230314, 48.879872770072446], [2.354854826720885, 48.87983482235004], [2.355869874606256, 48.87971941006932]]}","48.8798766363, 2.35483574043"
"6355",4963,10,"NON","BOULEVARD DE LA","CHAPELLE","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.364139099785502, 48.88423576863351], [2.364367483732036, 48.8842345779898]]}","48.8842351733, 2.36425329176"
"6356",4971,10,"NON","BOULEVARD DE LA","CHAPELLE","VOIE 50","PISTE CYCLABLE AVEC STATIONNEMENT RECONSTITUE","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.3621834615466772, 48.88424594620696], [2.362506236613127, 48.884244268615475]]}","48.8842451074, 2.36234484908"
"6357",4972,10,"NON","BOULEVARD DE LA","CHAPELLE","VOIE 50","PISTE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.362506236613127, 48.884244268615475], [2.36322815521633, 48.88424051336502]]}","48.884242391, 2.36286719591"
"6358",4977,10,"NON","BOULEVARD DE LA","VILLETTE","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.364593488025327, 48.88421922867641], [2.364654242693201, 48.884211353490734], [2.364674562148572, 48.88421007342113]]}","48.8842141493, 2.36463397681"
"6362",5506,8,"NON","AVENUE","MATIGNON","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.314259748368919, 48.8718165578758], [2.314712754191063, 48.87247182324824]]}","48.8721441906, 2.31448625128"
"6363",5515,8,"NON","AVENUE DE","FRIEDLAND","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.298323493778679, 48.87404438991542], [2.2986837823088, 48.874084759579354]]}","48.8740645747, 2.29850363804"
"6364",5518,8,"NON","AVENUE DE","FRIEDLAND","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.301132912548664, 48.874359149659654], [2.302133655715846, 48.8744712533731]]}","48.8744152015, 2.30163328413"
"6365",5519,8,"NON","AVENUE DE","FRIEDLAND","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.302417213394693, 48.87450230968579], [2.303090531772209, 48.87457605122606]]}","48.8745391805, 2.30275387258"
"6366",5520,8,"NON","AVENUE DE","FRIEDLAND","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.303090531772209, 48.87457605122606], [2.303524429524006, 48.874623569402026]]}","48.8745998103, 2.30330748065"
"6367",5524,8,"NON","BOULEVARD","HAUSSMANN","VOIE 50","CONTINUITE COULOIR BUS","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.316250143340616, 48.87517109014584], [2.31663885482233, 48.87511951390836]]}","48.875145302, 2.31644449908"
"6368",5528,8,"NON","BOULEVARD","HAUSSMANN","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.314554610781049, 48.875156526662664], [2.315670123484257, 48.875203360590625]]}","48.8751799436, 2.31511236713"
"6369",5529,8,"NON","BOULEVARD","HAUSSMANN","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.308670815887816, 48.874948986842284], [2.309027793215414, 48.874960565980224]]}","48.8749547764, 2.30884930455"
"6370",5541,8,"NON","RUE DU","FAUBOURG SAINT-HONORE","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.300215055836687, 48.877134658941635], [2.300232582390218, 48.87712735802009], [2.301430507020959, 48.876626662759094]]}","48.8768806712, 2.30082278574"
